data.programNumber,value_assistanceUsage
10.977,Agriculture/Forestry/Fish and Game
10.188,Agriculture/Forestry/Fish and Game
10.188,Business/Commerce
10.188,Construction/Renewal/Rehabilitation
10.188,Economic Development
10.188,Food and Nutrition
10.188,Regional Development
10.188,Transportation
10.446,Economic Development
10.446,Planning
10.446,Training
10.446,Community Development (includes Federal surplus property)
66.040,"Environment (water, air, solid waste, pesticides, radiation)"
66.040,Transportation
10.190,Agriculture/Forestry/Fish and Game
10.190,Business/Commerce
10.190,Construction/Renewal/Rehabilitation
10.190,Economic Development
10.190,Food and Nutrition
10.190,Regional Development
10.190,Transportation
66.039,Transportation
66.039,"Environment (water, air, solid waste, pesticides, radiation)"
10.173,Agriculture/Forestry/Fish and Game
97.128,Communications
97.083,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.127,Elementary/Secondary Education
97.127,Higher Education (includes Research)
97.127,Health/Medical
97.127,Youth Development
97.127,Training
97.127,Vocational Education
10.162,Agriculture/Forestry/Fish and Game
97.123,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.008,Planning
97.008,Transportation
97.008,Training
97.008,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
97.008,Communications
97.120,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.603,Income Security/Social Service/Welfare
93.590,Income Security/Social Service/Welfare
93.648,Income Security/Social Service/Welfare
93.648,Training
93.669,Income Security/Social Service/Welfare
93.652,Income Security/Social Service/Welfare
10.181,Agriculture/Forestry/Fish and Game
10.181,Food and Nutrition
66.481,"Environment (water, air, solid waste, pesticides, radiation)"
66.123,"Environment (water, air, solid waste, pesticides, radiation)"
97.141,Transportation
97.141,Food and Nutrition
97.141,Housing
64.114,Housing
64.114,Construction/Renewal/Rehabilitation
66.437,"Environment (water, air, solid waste, pesticides, radiation)"
66.820,"Environment (water, air, solid waste, pesticides, radiation)"
66.473,"Environment (water, air, solid waste, pesticides, radiation)"
10.420,Housing
10.420,Training
10.420,Vocational Education
10.420,Construction/Renewal/Rehabilitation
10.411,Housing
64.118,Housing
97.039,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.126,"Environment (water, air, solid waste, pesticides, radiation)"
66.126,Science and Technology
97.041,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.707,"Environment (water, air, solid waste, pesticides, radiation)"
66.707,Vocational Education
15.244,Agriculture/Forestry/Fish and Game
15.244,"Natural Resources (mineral, water, wildlife, land)"
97.067,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.976,Agriculture/Forestry/Fish and Game
10.712,Construction/Renewal/Rehabilitation
10.561,Food and Nutrition
10.693,Agriculture/Forestry/Fish and Game
10.566,Food and Nutrition
10.715,"Natural Resources (mineral, water, wildlife, land)"
10.715,Agriculture/Forestry/Fish and Game
10.729,"Natural Resources (mineral, water, wildlife, land)"
17.504,Employment/Labor/Management
17.502,Health/Medical
17.502,Higher Education (includes Research)
17.502,Training
10.711,Agriculture/Forestry/Fish and Game
10.711,"Natural Resources (mineral, water, wildlife, land)"
17.503,Employment/Labor/Management
10.539,Food and Nutrition
17.603,Health/Medical
10.542,Food and Nutrition
17.600,Health/Medical
10.649,Food and Nutrition
10.701,"Environment (water, air, solid waste, pesticides, radiation)"
10.701,"Natural Resources (mineral, water, wildlife, land)"
10.701,Recreation (includes Historic Preservation)
10.707,Agriculture/Forestry/Fish and Game
10.705,Transportation
10.567,Food and Nutrition
17.601,Health/Medical
10.717,"Natural Resources (mineral, water, wildlife, land)"
10.704,"Law, Justice, and Legal Services"
10.690,Agriculture/Forestry/Fish and Game
10.665,Elementary/Secondary Education
10.665,Higher Education (includes Research)
10.665,Agriculture/Forestry/Fish and Game
10.699,Agriculture/Forestry/Fish and Game
10.699,"Natural Resources (mineral, water, wildlife, land)"
10.699,Recreation (includes Historic Preservation)
10.699,Science and Technology
10.699,Training
10.699,Youth Development
10.718,"Natural Resources (mineral, water, wildlife, land)"
10.718,Recreation (includes Historic Preservation)
10.702,Agriculture/Forestry/Fish and Game
10.702,"Natural Resources (mineral, water, wildlife, land)"
10.702,Recreation (includes Historic Preservation)
10.702,Science and Technology
10.702,Training
10.702,Youth Development
10.652,Agriculture/Forestry/Fish and Game
10.652,Science and Technology
10.682,Agriculture/Forestry/Fish and Game
10.684,Agriculture/Forestry/Fish and Game
10.666,Agriculture/Forestry/Fish and Game
10.666,Public Works
17.261,Employment/Labor/Management
17.261,Science and Technology
17.285,Training
17.285,Vocational Education
17.285,Vocational Rehabilitation
17.285,Youth Development
17.285,Employment/Labor/Management
17.285,Economic Development
17.285,Culture/Arts/Humanities
17.259,Economic Development
17.259,Training
17.259,Youth Development
17.259,Vocational Education
17.270,Elementary/Secondary Education
17.270,Employment/Labor/Management
17.270,"Law, Justice, and Legal Services"
17.270,Training
17.270,Youth Development
17.270,Vocational Education
17.258,Employment/Labor/Management
17.258,Training
17.268,Higher Education (includes Research)
17.268,Regional Development
17.268,Training
17.268,Employment/Labor/Management
17.289,Employment/Labor/Management
17.289,Training
17.289,Youth Development
17.801,Employment/Labor/Management
17.805,Employment/Labor/Management
17.235,Employment/Labor/Management
17.235,Training
10.477,Food and Nutrition
10.477,Agriculture/Forestry/Fish and Game
10.477,Business/Commerce
16.544,Elementary/Secondary Education
16.544,"Law, Justice, and Legal Services"
66.033,"Environment (water, air, solid waste, pesticides, radiation)"
10.645,Food and Nutrition
10.479,Agriculture/Forestry/Fish and Game
14.022,Housing
14.022,Consumer Protection
16.751,Training
10.594,Food and Nutrition
16.203,"Law, Justice, and Legal Services"
16.614,"Law, Justice, and Legal Services"
16.566,Higher Education (includes Research)
16.566,"Law, Justice, and Legal Services"
16.817,"Law, Justice, and Legal Services"
16.817,Planning
10.575,Economic Development
10.575,Food and Nutrition
10.575,Agriculture/Forestry/Fish and Game
10.229,Higher Education (includes Research)
10.229,Health/Medical
10.229,Agriculture/Forestry/Fish and Game
14.889,Economic Development
14.889,Elementary/Secondary Education
14.889,Employment/Labor/Management
14.889,Housing
14.889,Planning
14.889,Transportation
15.921,Agriculture/Forestry/Fish and Game
14.117,Housing
14.117,Construction/Renewal/Rehabilitation
15.947,Recreation (includes Historic Preservation)
14.327,Housing
66.038,Communications
66.038,"Environment (water, air, solid waste, pesticides, radiation)"
66.038,Planning
66.038,Training
66.038,Vocational Education
16.048,"Law, Justice, and Legal Services"
14.023,Community Development (includes Federal surplus property)
14.023,Housing
14.023,Planning
14.023,Regional Development
59.006,Business/Commerce
16.562,Higher Education (includes Research)
14.183,Housing
12.330,Elementary/Secondary Education
12.330,Higher Education (includes Research)
12.330,Youth Development
10.531,Food and Nutrition
10.531,Training
10.518,Higher Education (includes Research)
10.216,Higher Education (includes Research)
10.522,Elementary/Secondary Education
10.522,Agriculture/Forestry/Fish and Game
10.522,Training
10.522,Youth Development
10.139,Agriculture/Forestry/Fish and Game
10.222,Higher Education (includes Research)
10.222,Agriculture/Forestry/Fish and Game
10.523,Agriculture/Forestry/Fish and Game
10.523,Training
10.203,Higher Education (includes Research)
10.203,Agriculture/Forestry/Fish and Game
10.203,Construction/Renewal/Rehabilitation
10.777,"Environment (water, air, solid waste, pesticides, radiation)"
10.777,Food and Nutrition
10.777,Higher Education (includes Research)
10.777,Agriculture/Forestry/Fish and Game
10.777,International (includes Export/lmport)
10.777,"Natural Resources (mineral, water, wildlife, land)"
10.777,Science and Technology
10.171,Agriculture/Forestry/Fish and Game
10.237,Agriculture/Forestry/Fish and Game
10.237,Economic Development
10.604,Agriculture/Forestry/Fish and Game
10.110,Agriculture/Forestry/Fish and Game
10.113,Agriculture/Forestry/Fish and Game
10.303,Higher Education (includes Research)
10.303,Agriculture/Forestry/Fish and Game
10.303,"Natural Resources (mineral, water, wildlife, land)"
10.303,Science and Technology
10.244,Food and Nutrition
10.514,Higher Education (includes Research)
10.116,Agriculture/Forestry/Fish and Game
10.219,Higher Education (includes Research)
10.219,Agriculture/Forestry/Fish and Game
10.219,Science and Technology
10.221,Higher Education (includes Research)
10.221,Agriculture/Forestry/Fish and Game
10.123,Agriculture/Forestry/Fish and Game
10.378,No Functional Application/Unlimited Application
10.215,Higher Education (includes Research)
10.215,Agriculture/Forestry/Fish and Game
10.215,"Natural Resources (mineral, water, wildlife, land)"
10.215,Science and Technology
10.601,International (includes Export/lmport)
10.601,Business/Commerce
10.131,Agriculture/Forestry/Fish and Game
10.961,Economic Development
10.961,Energy
10.961,"Environment (water, air, solid waste, pesticides, radiation)"
10.961,Food and Nutrition
10.961,Higher Education (includes Research)
10.961,Agriculture/Forestry/Fish and Game
10.961,International (includes Export/lmport)
10.961,"Natural Resources (mineral, water, wildlife, land)"
10.961,Science and Technology
10.961,Training
10.608,Elementary/Secondary Education
10.608,Food and Nutrition
10.608,International (includes Export/lmport)
10.608,"Natural Resources (mineral, water, wildlife, land)"
10.608,Youth Development
10.603,Business/Commerce
10.768,Economic Development
10.768,"Environment (water, air, solid waste, pesticides, radiation)"
10.768,Community Development (includes Federal surplus property)
45.301,Culture/Arts/Humanities
45.301,Science and Technology
45.301,Recreation (includes Historic Preservation)
45.301,Training
10.320,Higher Education (includes Research)
10.098,Agriculture/Forestry/Fish and Game
10.236,"Environment (water, air, solid waste, pesticides, radiation)"
10.966,Agriculture/Forestry/Fish and Game
10.767,Economic Development
10.767,Regional Development
10.767,Business/Commerce
10.767,Community Development (includes Federal surplus property)
10.600,Business/Commerce
93.597,Income Security/Social Service/Welfare
10.149,Agriculture/Forestry/Fish and Game
10.051,Agriculture/Forestry/Fish and Game
10.615,No Functional Application/Unlimited Application
45.308,Culture/Arts/Humanities
45.308,Elementary/Secondary Education
45.308,Planning
45.308,Recreation (includes Historic Preservation)
45.308,Training
45.308,Vocational Education
45.308,Youth Development
10.250,Agriculture/Forestry/Fish and Game
10.250,Libraries/lnformation/Statistics
10.610,Economic Development
10.610,Agriculture/Forestry/Fish and Game
10.614,Economic Development
10.614,Energy
10.614,"Environment (water, air, solid waste, pesticides, radiation)"
10.614,Food and Nutrition
10.614,Higher Education (includes Research)
10.614,Agriculture/Forestry/Fish and Game
10.614,International (includes Export/lmport)
10.614,"Natural Resources (mineral, water, wildlife, land)"
10.614,Planning
10.614,Regional Development
10.614,Science and Technology
10.614,Business/Commerce
10.614,Training
10.614,Youth Development
10.253,Food and Nutrition
10.253,Agriculture/Forestry/Fish and Game
10.971,Agriculture/Forestry/Fish and Game
10.971,Communications
10.971,"Environment (water, air, solid waste, pesticides, radiation)"
10.971,Food and Nutrition
10.971,Higher Education (includes Research)
10.971,"Natural Resources (mineral, water, wildlife, land)"
10.971,Planning
10.971,Regional Development
10.971,Training
10.971,Vocational Education
10.377,Agriculture/Forestry/Fish and Game
10.377,Business/Commerce
10.377,Economic Development
10.377,Energy
10.377,"Law, Justice, and Legal Services"
10.377,Planning
10.377,Training
10.202,Higher Education (includes Research)
10.202,Agriculture/Forestry/Fish and Game
10.108,Agriculture/Forestry/Fish and Game
10.975,Agriculture/Forestry/Fish and Game
10.147,Agriculture/Forestry/Fish and Game
10.147,Communications
10.147,Training
10.309,Higher Education (includes Research)
10.309,Agriculture/Forestry/Fish and Game
10.309,"Natural Resources (mineral, water, wildlife, land)"
10.309,Science and Technology
10.309,Business/Commerce
10.616,Business/Commerce
10.234,Agriculture/Forestry/Fish and Game
66.816,"Environment (water, air, solid waste, pesticides, radiation)"
10.938,Training
10.938,Science and Technology
10.938,"Natural Resources (mineral, water, wildlife, land)"
10.938,Planning
10.938,Agriculture/Forestry/Fish and Game
10.938,"Environment (water, air, solid waste, pesticides, radiation)"
10.938,Higher Education (includes Research)
10.177,Agriculture/Forestry/Fish and Game
10.177,Employment/Labor/Management
10.916,Agriculture/Forestry/Fish and Game
10.924,Agriculture/Forestry/Fish and Game
10.924,"Natural Resources (mineral, water, wildlife, land)"
10.907,Libraries/lnformation/Statistics
10.907,"Natural Resources (mineral, water, wildlife, land)"
98.011,International (includes Export/lmport)
98.001,International (includes Export/lmport)
10.905,"Environment (water, air, solid waste, pesticides, radiation)"
10.905,Agriculture/Forestry/Fish and Game
10.905,"Natural Resources (mineral, water, wildlife, land)"
10.164,Agriculture/Forestry/Fish and Game
10.902,"Natural Resources (mineral, water, wildlife, land)"
93.007,Health/Medical
16.041,"Law, Justice, and Legal Services"
10.187,Food and Nutrition
10.165,Business/Commerce
93.990,Health/Medical
66.951,Agriculture/Forestry/Fish and Game
66.951,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.951,Communications
66.951,Culture/Arts/Humanities
66.951,Elementary/Secondary Education
66.951,"Environment (water, air, solid waste, pesticides, radiation)"
66.951,Food and Nutrition
66.951,Higher Education (includes Research)
66.951,Training
66.951,Youth Development
10.155,Agriculture/Forestry/Fish and Game
66.518,"Environment (water, air, solid waste, pesticides, radiation)"
10.319,Higher Education (includes Research)
10.319,Agriculture/Forestry/Fish and Game
10.319,Science and Technology
10.519,Elementary/Secondary Education
10.519,Higher Education (includes Research)
10.519,Vocational Rehabilitation
10.329,Higher Education (includes Research)
10.329,Agriculture/Forestry/Fish and Game
10.329,"Natural Resources (mineral, water, wildlife, land)"
10.329,Science and Technology
10.322,Higher Education (includes Research)
10.969,"Natural Resources (mineral, water, wildlife, land)"
10.969,Agriculture/Forestry/Fish and Game
10.054,"Environment (water, air, solid waste, pesticides, radiation)"
10.054,Agriculture/Forestry/Fish and Game
10.054,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.328,Health/Medical
10.328,Higher Education (includes Research)
10.328,Agriculture/Forestry/Fish and Game
10.328,"Natural Resources (mineral, water, wildlife, land)"
10.328,Science and Technology
10.328,Business/Commerce
10.328,Consumer Protection
10.521,Elementary/Secondary Education
10.521,Higher Education (includes Research)
10.521,Agriculture/Forestry/Fish and Game
10.521,Training
10.521,Vocational Education
10.336,Health/Medical
10.336,Higher Education (includes Research)
10.336,Agriculture/Forestry/Fish and Game
10.336,Training
95.005,"Law, Justice, and Legal Services"
93.567,Income Security/Social Service/Welfare
97.091,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
95.003,Training
97.140,Construction/Renewal/Rehabilitation
90.705,Agriculture/Forestry/Fish and Game
90.705,Business/Commerce
90.705,Communications
90.705,Community Development (includes Federal surplus property)
90.705,Construction/Renewal/Rehabilitation
90.705,Culture/Arts/Humanities
90.705,Economic Development
90.705,Employment/Labor/Management
90.705,Energy
90.705,"Environment (water, air, solid waste, pesticides, radiation)"
90.705,Food and Nutrition
90.705,Health/Medical
90.705,Higher Education (includes Research)
90.705,"Law, Justice, and Legal Services"
90.705,Maritime
90.705,"Natural Resources (mineral, water, wildlife, land)"
90.705,Planning
90.705,Public Works
90.705,Recreation (includes Historic Preservation)
90.705,Regional Development
90.705,Science and Technology
90.705,Training
90.705,Transportation
90.705,Vocational Education
95.008,Training
10.579,Food and Nutrition
59.008,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
10.384,Agriculture/Forestry/Fish and Game
10.384,Business/Commerce
10.384,Construction/Renewal/Rehabilitation
10.384,Economic Development
10.384,Food and Nutrition
17.274,Elementary/Secondary Education
17.274,Training
17.274,Youth Development
17.274,Vocational Education
17.201,Employment/Labor/Management
17.201,Business/Commerce
17.201,Training
17.201,Construction/Renewal/Rehabilitation
17.287,Higher Education (includes Research)
17.287,Training
17.287,Youth Development
17.287,Vocational Education
10.565,Food and Nutrition
64.032,Higher Education (includes Research)
10.545,Economic Development
10.545,Food and Nutrition
10.545,Business/Commerce
10.545,Communications
10.545,Community Development (includes Federal surplus property)
17.280,Employment/Labor/Management
17.280,Training
10.568,Food and Nutrition
10.576,Food and Nutrition
10.576,Agriculture/Forestry/Fish and Game
17.277,Training
17.245,Employment/Labor/Management
17.245,Business/Commerce
17.245,Training
17.245,Vocational Education
17.281,Training
16.578,"Law, Justice, and Legal Services"
66.032,"Environment (water, air, solid waste, pesticides, radiation)"
66.032,Community Development (includes Federal surplus property)
66.032,Consumer Protection
66.032,Housing
66.032,Training
66.046,Energy
66.046,"Environment (water, air, solid waste, pesticides, radiation)"
66.046,Housing
66.046,Planning
66.046,Regional Development
66.046,Transportation
64.126,No Functional Application/Unlimited Application
10.200,Higher Education (includes Research)
10.200,Agriculture/Forestry/Fish and Game
10.232,Agriculture/Forestry/Fish and Game
10.233,Libraries/lnformation/Statistics
10.226,Higher Education (includes Research)
10.217,Higher Education (includes Research)
10.311,Higher Education (includes Research)
10.311,Agriculture/Forestry/Fish and Game
10.311,"Natural Resources (mineral, water, wildlife, land)"
10.311,Science and Technology
10.246,Construction/Renewal/Rehabilitation
10.307,Higher Education (includes Research)
10.307,Agriculture/Forestry/Fish and Game
10.307,"Natural Resources (mineral, water, wildlife, land)"
10.220,Higher Education (includes Research)
10.220,Agriculture/Forestry/Fish and Game
10.220,Community Development (includes Federal surplus property)
10.245,Agriculture/Forestry/Fish and Game
10.245,Food and Nutrition
10.850,Energy
10.850,Community Development (includes Federal surplus property)
10.751,Economic Development
10.751,Employment/Labor/Management
10.751,Energy
10.751,"Environment (water, air, solid waste, pesticides, radiation)"
10.751,Housing
10.751,Business/Commerce
10.751,Community Development (includes Federal surplus property)
10.751,Construction/Renewal/Rehabilitation
17.302,Income Security/Social Service/Welfare
10.858,Public Works
10.858,Regional Development
10.318,Higher Education (includes Research)
10.318,Agriculture/Forestry/Fish and Game
10.318,Science and Technology
10.859,Energy
17.310,Employment/Labor/Management
17.307,Income Security/Social Service/Welfare
17.225,Employment/Labor/Management
17.225,Income Security/Social Service/Welfare
17.271,Employment/Labor/Management
94.013,No Functional Application/Unlimited Application
94.013,Economic Development
94.013,Income Security/Social Service/Welfare
66.037,"Environment (water, air, solid waste, pesticides, radiation)"
66.037,Science and Technology
66.037,Training
66.037,Youth Development
66.037,Vocational Education
66.037,Higher Education (includes Research)
17.003,Libraries/lnformation/Statistics
10.381,Food and Nutrition
10.291,"Environment (water, air, solid waste, pesticides, radiation)"
10.291,Food and Nutrition
10.291,Higher Education (includes Research)
10.291,Agriculture/Forestry/Fish and Game
10.291,"Natural Resources (mineral, water, wildlife, land)"
10.292,Consumer Protection
10.292,"Environment (water, air, solid waste, pesticides, radiation)"
10.292,Higher Education (includes Research)
17.290,Training
10.225,Food and Nutrition
10.225,Agriculture/Forestry/Fish and Game
10.225,Training
10.225,Community Development (includes Federal surplus property)
10.212,Agriculture/Forestry/Fish and Game
10.212,Science and Technology
10.212,Business/Commerce
10.223,Higher Education (includes Research)
10.223,Agriculture/Forestry/Fish and Game
10.223,"Natural Resources (mineral, water, wildlife, land)"
10.350,Agriculture/Forestry/Fish and Game
10.350,Business/Commerce
10.290,Economic Development
10.290,Energy
10.290,"Environment (water, air, solid waste, pesticides, radiation)"
10.290,Food and Nutrition
10.290,Agriculture/Forestry/Fish and Game
10.290,International (includes Export/lmport)
10.290,"Natural Resources (mineral, water, wildlife, land)"
10.475,Agriculture/Forestry/Fish and Game
14.171,Housing
14.171,"Law, Justice, and Legal Services"
14.171,Consumer Protection
10.407,Agriculture/Forestry/Fish and Game
10.407,"Natural Resources (mineral, water, wildlife, land)"
10.407,Youth Development
14.276,Housing
14.276,Youth Development
14.276,Community Development (includes Federal surplus property)
17.700,Employment/Labor/Management
17.700,Training
17.700,Planning
10.182,Food and Nutrition
10.182,Economic Development
10.072,Agriculture/Forestry/Fish and Game
10.072,"Natural Resources (mineral, water, wildlife, land)"
10.935,Agriculture/Forestry/Fish and Game
10.935,Food and Nutrition
10.180,Agriculture/Forestry/Fish and Game
10.180,Food and Nutrition
93.464,Science and Technology
93.042,Income Security/Social Service/Welfare
93.043,Health/Medical
93.043,Income Security/Social Service/Welfare
93.047,Health/Medical
93.664,Health/Medical
93.829,Health/Medical
93.695,Higher Education (includes Research)
93.881,Health/Medical
93.624,Health/Medical
93.525,Health/Medical
93.634,Health/Medical
14.867,Housing
14.867,Planning
14.867,Construction/Renewal/Rehabilitation
14.867,Regional Development
14.902,Housing
14.914,Housing
59.054,International (includes Export/lmport)
10.569,Food and Nutrition
59.079,Business/Commerce
10.572,Food and Nutrition
59.046,Business/Commerce
21.015,Economic Development
21.015,"Environment (water, air, solid waste, pesticides, radiation)"
21.015,"Natural Resources (mineral, water, wildlife, land)"
21.015,Recreation (includes Historic Preservation)
59.073,Business/Commerce
21.016,"Law, Justice, and Legal Services"
21.016,Transportation
21.016,Training
93.060,Youth Development
93.060,Training
66.306,Agriculture/Forestry/Fish and Game
66.306,Communications
66.306,Community Development (includes Federal surplus property)
66.306,Economic Development
66.306,Elementary/Secondary Education
66.306,Employment/Labor/Management
66.306,Energy
66.306,"Environment (water, air, solid waste, pesticides, radiation)"
66.306,Food and Nutrition
66.306,Health/Medical
66.306,Housing
66.306,Planning
66.306,Science and Technology
66.306,Training
66.306,Youth Development
59.078,Business/Commerce
59.075,Business/Commerce
11.468,Science and Technology
11.451,"Environment (water, air, solid waste, pesticides, radiation)"
11.451,"Natural Resources (mineral, water, wildlife, land)"
11.459,Higher Education (includes Research)
11.459,Science and Technology
11.553,No Functional Application/Unlimited Application
11.437,"Natural Resources (mineral, water, wildlife, land)"
11.012,Energy
11.012,"Environment (water, air, solid waste, pesticides, radiation)"
11.012,Maritime
11.012,"Natural Resources (mineral, water, wildlife, land)"
11.012,Science and Technology
11.021,Science and Technology
59.067,Economic Development
59.067,Business/Commerce
97.076,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
93.714,Income Security/Social Service/Welfare
11.407,Agriculture/Forestry/Fish and Game
11.469,Higher Education (includes Research)
11.469,Science and Technology
66.962,"Environment (water, air, solid waste, pesticides, radiation)"
66.962,Planning
66.962,Public Works
66.962,Recreation (includes Historic Preservation)
66.962,Regional Development
66.610,"Environment (water, air, solid waste, pesticides, radiation)"
66.610,Planning
66.610,Science and Technology
66.610,Training
66.001,"Environment (water, air, solid waste, pesticides, radiation)"
66.600,"Environment (water, air, solid waste, pesticides, radiation)"
93.654,Health/Medical
11.034,Economic Development
11.034,Business/Commerce
11.041,Employment/Labor/Management
10.587,Food and Nutrition
10.593,Food and Nutrition
21.023,Housing
21.023,Income Security/Social Service/Welfare
11.619,No Functional Application/Unlimited Application
21.019,Business/Commerce
21.019,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
21.019,Communications
21.019,Elementary/Secondary Education
21.019,Employment/Labor/Management
21.019,Food and Nutrition
21.019,Health/Medical
21.019,Higher Education (includes Research)
21.019,Transportation
21.019,Training
17.720,No Functional Application/Unlimited Application
11.620,Higher Education (includes Research)
11.620,Science and Technology
11.620,Business/Commerce
11.620,Training
11.013,Elementary/Secondary Education
11.013,Health/Medical
11.013,Higher Education (includes Research)
11.013,Business/Commerce
11.013,Vocational Education
21.029,Construction/Renewal/Rehabilitation
11.609,Higher Education (includes Research)
11.609,Science and Technology
21.032,No Functional Application/Unlimited Application
66.034,"Environment (water, air, solid waste, pesticides, radiation)"
64.116,Vocational Rehabilitation
64.106,Housing
64.106,Construction/Renewal/Rehabilitation
93.493,No Functional Application/Unlimited Application
11.435,"Natural Resources (mineral, water, wildlife, land)"
11.467,Higher Education (includes Research)
11.467,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
11.436,"Natural Resources (mineral, water, wildlife, land)"
11.015,Economic Development
11.015,Elementary/Secondary Education
11.015,Higher Education (includes Research)
11.015,Maritime
11.015,Planning
11.015,Science and Technology
11.015,Business/Commerce
11.015,Training
11.015,Youth Development
14.151,Housing
11.417,No Functional Application/Unlimited Application
11.463,Higher Education (includes Research)
11.463,"Natural Resources (mineral, water, wildlife, land)"
11.011,No Functional Application/Unlimited Application
11.011,Economic Development
11.011,Elementary/Secondary Education
11.011,Employment/Labor/Management
11.011,Energy
11.011,"Environment (water, air, solid waste, pesticides, radiation)"
11.011,Food and Nutrition
11.011,Health/Medical
11.011,Higher Education (includes Research)
11.011,Housing
11.011,Income Security/Social Service/Welfare
11.011,Agriculture/Forestry/Fish and Game
11.011,International (includes Export/lmport)
11.011,"Law, Justice, and Legal Services"
11.011,Libraries/lnformation/Statistics
11.011,Maritime
11.011,"Natural Resources (mineral, water, wildlife, land)"
11.011,Planning
11.011,Public Works
11.011,Recreation (includes Historic Preservation)
11.011,Regional Development
11.011,Science and Technology
11.011,Business/Commerce
11.011,Transportation
11.011,Training
11.011,Youth Development
11.011,Vocational Education
11.011,Vocational Rehabilitation
11.011,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
11.011,Communications
11.011,Community Development (includes Federal surplus property)
11.011,Construction/Renewal/Rehabilitation
11.011,Consumer Protection
11.011,Culture/Arts/Humanities
11.473,Science and Technology
93.676,Income Security/Social Service/Welfare
11.035,Economic Development
11.035,Business/Commerce
11.035,Communications
11.035,Community Development (includes Federal surplus property)
11.035,Regional Development
11.606,Libraries/lnformation/Statistics
11.420,"Natural Resources (mineral, water, wildlife, land)"
11.457,Science and Technology
11.457,Business/Commerce
11.477,Business/Commerce
11.426,"Environment (water, air, solid waste, pesticides, radiation)"
11.426,Science and Technology
11.462,Higher Education (includes Research)
11.603,Libraries/lnformation/Statistics
11.431,Higher Education (includes Research)
11.431,Science and Technology
93.569,Employment/Labor/Management
93.569,Community Development (includes Federal surplus property)
11.427,Agriculture/Forestry/Fish and Game
97.010,Employment/Labor/Management
97.010,"Law, Justice, and Legal Services"
97.010,Training
14.139,Housing
11.440,Higher Education (includes Research)
11.440,Science and Technology
93.595,Income Security/Social Service/Welfare
11.441,"Environment (water, air, solid waste, pesticides, radiation)"
87.051,"Environment (water, air, solid waste, pesticides, radiation)"
87.051,"Natural Resources (mineral, water, wildlife, land)"
14.142,Housing
14.142,Business/Commerce
14.142,Agriculture/Forestry/Fish and Game
93.575,Income Security/Social Service/Welfare
12.599,No Functional Application/Unlimited Application
11.433,Higher Education (includes Research)
11.433,Agriculture/Forestry/Fish and Game
11.433,"Natural Resources (mineral, water, wildlife, land)"
97.009,Income Security/Social Service/Welfare
11.460,Higher Education (includes Research)
11.460,Science and Technology
11.460,Business/Commerce
11.483,Economic Development
11.483,"Environment (water, air, solid waste, pesticides, radiation)"
11.483,Higher Education (includes Research)
11.483,Agriculture/Forestry/Fish and Game
11.483,Libraries/lnformation/Statistics
11.483,Maritime
11.483,"Natural Resources (mineral, water, wildlife, land)"
11.483,Planning
11.483,Public Works
11.483,Regional Development
11.483,Science and Technology
11.483,Business/Commerce
93.570,Economic Development
93.570,Employment/Labor/Management
93.570,Community Development (includes Federal surplus property)
93.643,Income Security/Social Service/Welfare
11.481,Higher Education (includes Research)
11.478,Maritime
11.454,"Natural Resources (mineral, water, wildlife, land)"
11.029,Communications
11.029,Economic Development
11.029,Health/Medical
11.429,"Environment (water, air, solid waste, pesticides, radiation)"
11.429,Maritime
11.429,"Natural Resources (mineral, water, wildlife, land)"
11.413,Agriculture/Forestry/Fish and Game
11.413,"Natural Resources (mineral, water, wildlife, land)"
11.022,Economic Development
11.022,"Environment (water, air, solid waste, pesticides, radiation)"
11.022,Science and Technology
11.022,Business/Commerce
11.022,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
11.038,Business/Commerce
11.038,Communications
11.038,Higher Education (includes Research)
93.489,Income Security/Social Service/Welfare
93.489,Construction/Renewal/Rehabilitation
11.434,"Natural Resources (mineral, water, wildlife, land)"
11.432,Higher Education (includes Research)
11.432,Training
11.432,Science and Technology
93.596,Income Security/Social Service/Welfare
14.873,Housing
11.455,Higher Education (includes Research)
11.455,Science and Technology
11.008,Elementary/Secondary Education
11.008,"Environment (water, air, solid waste, pesticides, radiation)"
11.008,Higher Education (includes Research)
11.008,Maritime
11.008,"Natural Resources (mineral, water, wildlife, land)"
11.008,Science and Technology
11.008,Youth Development
11.033,Business/Commerce
11.033,Communications
11.033,Economic Development
11.474,"Natural Resources (mineral, water, wildlife, land)"
