data.programNumber,value
45.169,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
45.169,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.815,U.S. Territories and possessions
66.815,State
66.815,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.815,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.815,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.815,Federally Recognized lndian Tribal Governments
66.815,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.815,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.815,Quasi-public nonprofit institution/organization
66.815,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
20.806,"State (includes District of Columbia, public institutions of higher education and hospitals)"
12.560,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
12.560,Individual/Family
12.560,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.560,Quasi-public nonprofit institution/organization
12.560,Anyone/general public
64.058,State
64.058,U.S. Territories and possessions
64.058,"State (includes District of Columbia, public institutions of higher education and hospitals)"
64.058,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
64.058,Federally Recognized lndian Tribal Governments
64.058,Government - General
64.058,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
20.607,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.396,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.396,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.396,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
93.396,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
66.440,Interstate
66.440,"State (includes District of Columbia, public institutions of higher education and hospitals)"
66.440,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
66.440,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
66.440,Federally Recognized lndian Tribal Governments
66.440,U.S. Territories and possessions (includes institutions of higher education and hospitals)
66.440,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
84.161,U.S. Territories and possessions (includes institutions of higher education and hospitals)
84.161,State
93.394,"State (includes District of Columbia, public institutions of higher education and hospitals)"
93.394,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
93.394,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
