data.programNumber,data.financial.obligations.assistanceType,parent_description,parent_element_id,parent_value,code_assistanceTypes,value_assistanceTypes
97.134,3003.0,"Project Grants - The funding, for fixed or known periods, of specific projects or the delivery of specific services or products without liability for damages for failure to perform. Project grants include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, construction grants, and unsolicited contractual agreements.",3.0,PROJECT GRANTS,B,Project Grants
16.588,1001.0,"Formula Grants - Allocations of money to States or their subdivisions in accordance with a distribution formula prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project.",1.0,FORMULA GRANTS,A,Formula Grants
93.470,3002.0,"Project Grants - The funding, for fixed or known periods, of specific projects or the delivery of specific services or products without liability for damages for failure to perform. Project grants include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, construction grants, and unsolicited contractual agreements.",3.0,PROJECT GRANTS,B,Cooperative Agreements (Discretionary Grants)
93.825,3007.0,"Project Grants - The funding, for fixed or known periods, of specific projects or the delivery of specific services or products without liability for damages for failure to perform. Project grants include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, construction grants, and unsolicited contractual agreements.",3.0,PROJECT GRANTS,B,Project Grants (Cooperative Agreements)
11.999,90001.0,,90.0,SALARIES AND EXPENSES,Z,Salaries and Expenses
93.464,1001.0,"Formula Grants - Allocations of money to States or their subdivisions in accordance with a distribution formula prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project.",1.0,FORMULA GRANTS,A,Formula Grants
93.042,1001.0,"Formula Grants - Allocations of money to States or their subdivisions in accordance with a distribution formula prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project.",1.0,FORMULA GRANTS,A,Formula Grants
16.576,1001.0,"Formula Grants - Allocations of money to States or their subdivisions in accordance with a distribution formula prescribed by law or administrative regulation, for activities of a continuing nature not confined to a specific project.",1.0,FORMULA GRANTS,A,Formula Grants
96.008,90001.0,,90.0,SALARIES AND EXPENSES,Z,Salaries and Expenses
16.052,3001.0,"Project Grants - The funding, for fixed or known periods, of specific projects or the delivery of specific services or products without liability for damages for failure to perform. Project grants include fellowships, scholarships, research grants, training grants, traineeships, experimental and demonstration grants, evaluation grants, planning grants, technical assistance grants, survey grants, construction grants, and unsolicited contractual agreements.",3.0,PROJECT GRANTS,B,Cooperative Agreements
